Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21789;Manufacturing and Service Operations Management;journal;15265498, 15234614;5,466;Q1;110;167;362;7813;2582;359;5,36;46,78;27,79;3;50;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1999-2023;"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
2;21307;Management Science;journal;00251909, 15265501;5,438;Q1;290;388;1125;21282;7257;1118;5,57;54,85;23,4;46;104;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1969-2023;"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
3;21101041823;Strategy Science;journal;23332077, 23332050;3,292;Q1;26;34;70;3080;289;67;3,64;90,59;33,87;0;10;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;2016-2023;"Business and International Management (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
4;22900;Research Policy;journal;487333;3,219;Q1;289;176;489;15486;4862;483;9,18;87,99;28,36;20;93;Netherlands;Western Europe;Elsevier B.V.;1971-2024;"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
5;19165;International Journal of Production Economics;journal;9255273;3,074;Q1;231;298;902;20739;12655;889;12;69,59;28,47;0;132;Netherlands;Western Europe;Elsevier B.V.;1991-2024;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Engineering"
6;15700;Journal of Management Information Systems;journal;1557928X, 07421222;3,07;Q1;170;48;132;3917;1016;124;5,82;81,6;23,7;0;6;United States;Northern America;M.E. Sharpe Inc.;1987-2023;"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
7;22405;Production and Operations Management;journal;10591478, 19375956;3,035;Q1;138;223;655;12692;3883;650;5,37;56,91;24,44;4;42;United States;Northern America;Wiley-Blackwell;1992-2023;"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
8;19169;Journal of Operations Management;journal;18731317, 02726963;3,009;Q1;219;62;122;5143;960;111;6,49;82,95;22,41;3;12;Netherlands;Western Europe;John Wiley & Sons Inc.;1980-1991, 1993-2023;"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
9;20909;Transportation Research, Part E: Logistics and Transportation Review;journal;13665545;2,884;Q1;144;280;796;17394;9136;789;9,59;62,12;29,57;2;112;United Kingdom;Western Europe;Elsevier Ltd;1997-2023;"Business and International Management (Q1); Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
10;20893;Transportation Research Part C: Emerging Technologies;journal;0968090X;2,86;Q1;180;345;1080;20105;11151;1072;8,78;58,28;27,46;0;165;United Kingdom;Western Europe;Elsevier Ltd;1993-2023;"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
11;22238;Operations Research;journal;0030364X, 15265463;2,848;Q1;161;132;400;6302;1292;399;2,63;47,74;15,52;1;11;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1969-2023;"Computer Science Applications (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
12;27656;International Journal of Production Research;journal;00207543, 1366588X;2,668;Q1;186;623;1197;40150;14676;1179;9,74;64,45;29,17;4;243;United Kingdom;Western Europe;Taylor and Francis Ltd.;1961, 1963-1968, 1970-2023;"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
13;20892;Transportation Research Part B: Methodological;journal;1912615;2,66;Q1;171;114;447;6418;3410;444;6,54;56,3;23,3;0;50;United Kingdom;Western Europe;Elsevier Ltd;1979-2023;"Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Decision Sciences; Engineering; Social Sciences"
14;21915;Omega;journal;3050483;2,647;Q1;167;138;495;7830;4140;493;8,14;56,74;32,35;0;34;United Kingdom;Western Europe;Elsevier B.V.;1973-2024;"Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
15;19700201522;Journal of Business Logistics;journal;21581592, 07353766;2,504;Q1;97;32;77;3574;786;63;11,65;111,69;29,21;2;7;United States;Northern America;John Wiley & Sons Inc.;2001-2023;"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences"
16;21100905330;Research Policy: X;journal;25901451;2,428;Q1;3;0;1;0;13;1;0;0;0;0;0;Netherlands;Western Europe;Elsevier B.V.;2019-2020;"Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
17;22489;European Journal of Operational Research;journal;3772217;2,321;Q1;305;732;1950;40413;14714;1941;7,26;55,21;26,56;6;172;Netherlands;Western Europe;Elsevier B.V.;1977-2024;"Computer Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
18;20891;Transportation Research, Part A: Policy and Practice;journal;9658564;2,182;Q1;167;248;837;15212;6685;830;6,96;61,34;32,28;7;178;United Kingdom;Western Europe;Elsevier Ltd;1982, 1992-2023;"Aerospace Engineering (Q1); Business, Management and Accounting (miscellaneous) (Q1); Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
19;12689;Information Processing and Management;journal;18735371, 03064573;2,134;Q1;123;355;775;22539;8560;765;10,84;63,49;33,85;3;46;United Kingdom;Western Europe;Elsevier Ltd;1975-2024;"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Media Technology (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
20;18658;Production Planning and Control;journal;09537287, 13665871;2,02;Q1;104;186;324;17600;3657;315;10,23;94,62;27,81;2;102;United Kingdom;Western Europe;Taylor and Francis Ltd.;1990-2023;"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
21;21101107945;Sustainable Operations and Computers;journal;26664127;1,628;Q1;18;19;59;1216;839;59;13,93;64;27,27;0;14;China;Asiatic Region;KeAi Communications Co.;2020-2023;"Computer Science Applications (Q1); Global and Planetary Change (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Computer Science; Decision Sciences; Energy; Engineering; Environmental Science"
22;24355;Computers and Operations Research;journal;03050548, 1873765X;1,574;Q1;184;283;792;13842;4624;790;5,22;48,91;25,57;0;43;United Kingdom;Western Europe;Elsevier Ltd;1974-2024;"Computer Science (miscellaneous) (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Computer Science; Decision Sciences; Mathematics"
23;11700154366;Journal of Leadership and Organizational Studies;journal;19397089, 15480518;1,549;Q1;60;28;84;2585;562;83;5,6;92,32;42,55;0;1;United States;Northern America;SAGE Publications Inc.;1996-1999, 2008-2023;"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
24;21100943534;Transportation Research Interdisciplinary Perspectives;journal;25901982;1,484;Q1;45;229;597;13919;4401;593;4,87;60,78;36,43;2;167;United Kingdom;Western Europe;Elsevier Ltd;2019-2023;"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management Science and Operations Research (Q1); Transportation (Q1); Urban Studies (Q1)";"Decision Sciences; Engineering; Environmental Science; Social Sciences"
25;12512;Journal of Management in Engineering - ASCE;journal;19435479, 0742597X;1,475;Q1;92;73;367;5324;2544;364;6,12;72,93;25,98;0;27;United States;Northern America;American Society of Civil Engineers (ASCE);1985-2023;"Engineering (miscellaneous) (Q1); Industrial Relations (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
26;21101092534;Data Science and Management;journal;26667649;1,432;Q1;13;24;45;1290;405;41;9;53,75;38,16;0;10;China;Asiatic Region;KeAi Communications Co.;2021-2023;"Artificial Intelligence (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
27;12100156754;Sport Management Review;journal;14413523;1,429;Q1;78;51;149;3447;841;148;4,97;67,59;40,85;0;11;United Kingdom;Western Europe;Taylor and Francis Ltd.;1998-2023;"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Decision Sciences; Health Professions"
28;27677;Journal of Manufacturing Processes;journal;15266125;1,39;Q1;94;965;2358;45866;16891;2356;6,89;47,53;23,93;0;384;Netherlands;Western Europe;Elsevier B.V.;1999-2023;"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
29;15700154705;Operations Management Research;journal;19369743, 19369735;1,377;Q1;41;144;137;12769;1315;135;9,36;88,67;23,15;1;72;United States;Northern America;Springer New York;2008-2023;"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
30;5100155103;Journal of Informetrics;journal;18755879, 17511577;1,355;Q1;90;82;266;4671;1126;264;4,01;56,96;33,19;0;13;Netherlands;Western Europe;Elsevier B.V.;2007-2023;"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
31;20654;Journal of Managerial Psychology;journal;2683946;1,337;Q1;99;53;134;3162;623;127;3,7;59,66;46,58;0;11;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1986-2023;"Applied Psychology (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Decision Sciences; Psychology"
32;11400153310;International Journal of Logistics Research and Applications;journal;13675567, 1469848X;1,322;Q1;59;131;198;10384;1633;195;7,86;79,27;33,33;3;65;United Kingdom;Western Europe;Taylor and Francis Ltd.;2003-2023;"Business and International Management (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
33;18291;Socio-Economic Planning Sciences;journal;380121;1,315;Q1;68;268;546;17429;3713;538;6,97;65,03;36,69;2;176;United Kingdom;Western Europe;Elsevier Ltd;1967-2023;"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Management Science and Operations Research (Q1); Statistics, Probability and Uncertainty (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
34;25040;INFORMS Journal on Computing;journal;10919856, 15265528;1,264;Q1;90;75;368;3297;943;356;2,28;43,96;22,17;0;8;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1996-2001, 2003-2023;"Computer Science Applications (Q1); Information Systems (Q1); Management Science and Operations Research (Q1); Software (Q1)";"Computer Science; Decision Sciences"
35;15961;Naval Research Logistics;journal;15206750, 0894069X;1,26;Q1;77;63;175;2547;503;173;2,31;40,43;27,68;0;6;United States;Northern America;John Wiley & Sons Inc.;1973-1978, 1987-2023;"Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Ocean Engineering (Q1)";"Decision Sciences; Engineering; Mathematics"
36;19700182731;Egyptian Informatics Journal;journal;11108665, 20904754;1,22;Q1;50;59;132;2774;1034;132;7,97;47,02;29,52;0;10;Netherlands;Western Europe;Elsevier B.V.;2010-2023;"Computer Science Applications (Q1); Information Systems (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
37;22140;Mathematics of Operations Research;journal;15265471, 0364765X;1,215;Q1;92;93;268;3934;540;268;1,86;42,3;15,83;0;4;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1976-1989, 1995-2023;"Computer Science Applications (Q1); Management Science and Operations Research (Q1); Mathematics (miscellaneous) (Q1)";"Computer Science; Decision Sciences; Mathematics"
38;21101061990;Journal of Applied Structural Equation Modeling;journal;25904221;1,153;Q1;11;10;32;953;263;32;4,1;95,3;30,43;0;2;Malaysia;Asiatic Region;Sarawak Research Society;2017-2023;"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q1); Statistics, Probability and Uncertainty (Q1)";"Business, Management and Accounting; Decision Sciences"
39;144656;Management Decision;journal;251747;1,144;Q1;126;268;459;24164;2978;443;5,39;90,16;34,99;0;106;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1967-2023;"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences"
40;21100197952;Journal of Rail Transport Planning and Management;journal;22109706;1,117;Q1;33;35;93;1351;421;90;3,2;38,6;18,42;3;10;Netherlands;Western Europe;Elsevier B.V.;2011-2023;"Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Transportation (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics; Social Sciences"
41;21101021638;Stochastic Systems;journal;19465238;1,11;Q1;8;17;46;748;87;46;1,39;44;13,95;0;0;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;2019-2023;"Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
42;20500195043;Research in Transportation Business and Management;journal;22105395;1,1;Q1;52;133;321;8467;1597;311;4,71;63,66;32,12;1;84;Netherlands;Western Europe;Elsevier B.V.;2011-2023;"Business and International Management (Q1); Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
43;21100862198;EURO Journal on Transportation and Logistics;journal;21924384, 21924376;1,085;Q1;28;21;68;885;208;62;2,6;42,14;23,21;0;5;Netherlands;Western Europe;Elsevier B.V.;2013-2023;"Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Transportation (Q2)";"Decision Sciences; Mathematics; Social Sciences"
44;22236;Journal of the Operational Research Society;journal;01605682, 14769360;1,045;Q1;124;246;511;13398;2159;507;3,96;54,46;30,78;1;48;United Kingdom;Western Europe;Taylor and Francis Ltd.;1978-2023;"Management Information Systems (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics, Probability and Uncertainty (Q1); Strategy and Management (Q1); Marketing (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
45;20575;Journal of Engineering and Technology Management - JET-M;journal;18791719, 09234748;1,042;Q1;75;37;79;3018;448;79;4,39;81,57;34,74;0;16;Netherlands;Western Europe;Elsevier B.V.;1989-2023;"Engineering (miscellaneous) (Q1); Industrial Relations (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
46;9700153238;International Transactions in Operational Research;journal;09696016, 14753995;1,027;Q1;66;246;403;14018;1747;397;4,09;56,98;29,69;1;67;Denmark;Western Europe;Blackwell Publishing;1994-2024;"Business and International Management (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
47;23090;Annals of Operations Research;journal;02545330, 15729338;1,019;Q1;125;968;1551;56519;7529;1524;4,85;58,39;29,46;4;346;Netherlands;Western Europe;Springer Netherlands;1984-2023;"Management Science and Operations Research (Q1); Decision Sciences (miscellaneous) (Q2)";Decision Sciences
48;21100299408;Supply Chain Forum;journal;16246039, 16258312;0,996;Q1;26;51;83;4021;563;80;4,54;78,84;29,11;0;21;United Kingdom;Western Europe;Taylor and Francis Ltd.;2013-2023;"Business and International Management (Q1); Management Science and Operations Research (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Decision Sciences"
49;21100827466;EURO Journal on Computational Optimization;journal;21924406, 21924414;0,983;Q1;19;26;63;1007;178;59;3,13;38,73;19,05;0;3;Germany;Western Europe;Elsevier B.V.;2013-2023;"Computational Mathematics (Q1); Control and Optimization (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Decision Sciences; Mathematics"
50;21184;Journal of Quality Technology;journal;224065;0,975;Q2;94;41;97;1631;316;89;3,4;39,78;25,4;0;6;United States;Northern America;Taylor and Francis Ltd.;1969-1979, 1982-1984, 1994-2023;"Industrial and Manufacturing Engineering (Q1); Safety, Risk, Reliability and Quality (Q1); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Engineering"
51;56494;OR Spectrum;journal;01716468, 14366304;0,958;Q2;79;50;115;2574;389;112;3,51;51,48;21,92;1;14;Germany;Western Europe;Springer Verlag;1979-2023;"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences"
52;21101151249;Frontiers of Engineering Management;journal;20957513, 20960255;0,953;Q2;12;61;54;3943;237;40;4,39;64,64;39,46;0;27;China;Asiatic Region;Higher Education Press Limited Company;2022-2023;"Decision Sciences (miscellaneous) (Q2); Management Science and Operations Research (Q2)";Decision Sciences
53;21100807851;Journal of Global Operations and Strategic Sourcing;journal;23985364;0,936;Q2;31;50;84;4207;562;78;7,13;84,14;19,85;0;26;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2017-2023;"Management Science and Operations Research (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
54;21101065044;Sustainable Futures;journal;26661888;0,92;Q2;16;41;92;2583;576;92;4,13;63;38,02;1;33;United Kingdom;Western Europe;Elsevier B.V.;2019-2023;"Sociology and Political Science (Q1); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
55;21100886529;International Journal of Systems Science: Operations and Logistics;journal;23302674, 23302682;0,919;Q2;30;121;82;6638;485;82;6,02;54,86;25;1;42;United Kingdom;Western Europe;Taylor and Francis Ltd.;2014-2023;"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
56;21101082054;Journal of Safety Science and Resilience;journal;26664496, 20967527;0,895;Q2;15;39;80;2037;463;76;4,46;52,23;41,54;0;17;China;Asiatic Region;KeAi Communications Co.;2020-2023;"Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Statistics, Probability and Uncertainty (Q1); Computer Science Applications (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
57;20606;Journal of Forecasting;journal;02776693, 1099131X;0,885;Q2;68;118;257;5869;953;257;3,01;49,74;20,68;2;31;United Kingdom;Western Europe;John Wiley and Sons Ltd;1982-2023;"Modeling and Simulation (Q1); Computer Science Applications (Q2); Economics and Econometrics (Q2); Management Science and Operations Research (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
58;21100377744;International Journal of Lean Six Sigma;journal;20404166, 20404174;0,873;Q2;52;83;160;6599;1017;156;5,39;79,51;31,11;0;34;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2010-2023;"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Engineering"
59;23966;Journal of Optimization Theory and Applications;journal;00223239, 15732878;0,864;Q2;101;201;539;7174;1105;529;1,88;35,69;23,46;0;8;United States;Northern America;Springer New York;1967-2023;"Applied Mathematics (Q1); Control and Optimization (Q1); Management Science and Operations Research (Q2)";"Decision Sciences; Mathematics"
60;21100446510;Journal of Humanitarian Logistics and Supply Chain Management;journal;20426747, 20426755;0,856;Q2;35;34;80;2528;355;79;4,25;74,35;32,63;0;22;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2011-2023;"Management Information Systems (Q1); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences"
